taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
2645,89195689,2018-02-27T00:00:00.000+00:00,2018,https://www.iucnredlist.org/species/2645/89195689,IUCN SSC Amphibian Specialist Group 2018. Telmatobius macrostomus. The IUCN Red List of Threatened Species 2018: e.T2645A89195689. Accessed on 21 June 2026.,Telmatobius macrostomus,Lake Junin Frog,EN,Decreasing,,,1118,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",2645,self,True,False,EN
2648,118971948,2021-08-25T01:00:00.000+01:00,2023,https://www.iucnredlist.org/species/2648/118971948,IUCN SSC Amphibian Specialist Group 2023. Batrachoseps stebbinsi. The IUCN Red List of Threatened Species 2023: e.T2648A118971948. Accessed on 21 June 2026.,Batrachoseps stebbinsi,Tehachapi Slender Salamander,EN,Decreasing,,,2631,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",2648,self,True,False,EN
2649,118972092,2021-04-12T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/2649/118972092,IUCN SSC Amphibian Specialist Group 2022. Batrachoseps campi. The IUCN Red List of Threatened Species 2022: e.T2649A118972092. Accessed on 21 June 2026.,Batrachoseps campi,Inyo Mountains Salamander,NT,Stable,,,458,species,,[],AMPHIBIA,AMPHIBIANS,NT,"Other (Reptiles, Amphib., Crust.)",2649,self,True,False,NT
2664,166095358,2020-12-01T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/2664/166095358,IUCN SSC Amphibian Specialist Group 2023. Paradactylodon mustersi. The IUCN Red List of Threatened Species 2023: e.T2664A166095358. Accessed on 21 June 2026.,Paradactylodon mustersi,Paghman Mountain Salamander,EN,Decreasing,1000-2000,,2847.43,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",2664,self,True,False,EN
2917,123180264,2012-12-31T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/2917/123180264,"Silveira, A.L., Prudente, A.L. da C., Argôlo , A.J.S., Abrahão, C.R., Nogueira, C. de C., Barbo, F.E., Costa, G.C., Pontes, G.M.F., Colli, G.R., Zaher, H. el D., Borges-Martins, M., Martins, M.R.C., Oliveira , M.E., Passos, P.G.H., Bérnils, R.S., Sawaya, R.J., Cechin, C.T.Z & Guedes da Costa, T.B. 2021. Bothrops insularis. The IUCN Red List of Threatened Species 2021: e.T2917A123180264. Accessed on 21 June 2026.",Bothrops insularis,Golden Lancehead,CR,Decreasing,,4,4,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",2917,self,True,False,CR
2965,2791620,2012-06-22T01:00:00.000+01:00,2012,https://www.iucnredlist.org/species/2965/2791620,"Harlow, P., Fisher, R. & Grant, T. 2012. Brachylophus vitiensis. The IUCN Red List of Threatened Species 2012: e.T2965A2791620. Accessed on 21 June 2026.",Brachylophus vitiensis,Fiji Crested Iguana,CR,Decreasing,"12000-14000,13000",,,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",2965,self,True,False,CR
3009,197397165,2021-09-01T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/3009/197397165,"Tolley, K.A. 2022. Bradypodion nemorale. The IUCN Red List of Threatened Species 2022: e.T3009A197397165. Accessed on 21 June 2026.",Bradypodion nemorale,Qudeni Dwarf Chameleon,VU,Stable,,112,648,species,,[],REPTILIA,REPTILES,VU,"Other (Reptiles, Amphib., Crust.)",3009,self,True,False,VU
3012,197397314,2021-09-01T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/3012/197397314,"Tolley, K.A. 2022. Bradypodion setaroi. The IUCN Red List of Threatened Species 2022: e.T3012A197397314. Accessed on 21 June 2026.",Bradypodion setaroi,Setaro's Dwarf Chameleon,NT,Stable,,,6800,species,,[],REPTILIA,REPTILES,NT,"Other (Reptiles, Amphib., Crust.)",3012,self,True,False,NT
3017,197397461,2021-10-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/3017/197397461,"Tolley, K.A. 2022. Bradypodion thamnobates. The IUCN Red List of Threatened Species 2022: e.T3017A197397461. Accessed on 21 June 2026.",Bradypodion thamnobates,Natal Midlands Dwarf Chameleon,EN,Decreasing,,,4610,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",3017,self,True,False,EN
3069,247842971,2024-04-09T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/3069/247842971,"Turner, A.A. & Measey, G.J. 2025. Breviceps gibbosus. The IUCN Red List of Threatened Species 2025: e.T3069A247842971. Accessed on 21 June 2026.",Breviceps gibbosus,Cape Rain Frog,VU,Decreasing,,,9686,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",3069,self,True,False,VU
3070,2794989,2016-08-01T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/3070/2794989,IUCN SSC Amphibian Specialist Group & South African Frog Re-assessment Group (SA-FRoG) 2017. Breviceps macrops. The IUCN Red List of Threatened Species 2017: e.T3070A2794989. Accessed on 21 June 2026.,Breviceps macrops,Desert Rain Frog,NT,Unknown,,1446.03,13246.16,species,,[],AMPHIBIA,AMPHIBIANS,NT,"Other (Reptiles, Amphib., Crust.)",3070,self,True,False,NT
3083,176092775,2011-01-25T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/3083/176092775,"Jenkins, R.K.B., Andreone, F., Andriamazava, A., Anjeriniaina, M., Glaw, F., Rabibisoa, N., Rakotomalala, D., Randrianantoandro, J.C., Randrianiriana, J., Randrianizahana , H., Ratsoavina, F. & Robsomanitrandrasana, E. 2020. Brookesia perarmata (amended version of 2011 assessment). The IUCN Red List of Threatened Species 2020: e.T3083A176092775. Accessed on 21 June 2026.",Brookesia perarmata,Antsingy Leaf Chameleon,EN,Decreasing,,,401,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",3083,self,True,False,EN
3169,118972196,2020-10-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/3169/118972196,IUCN SSC Amphibian Specialist Group 2022. Anaxyrus exsul. The IUCN Red List of Threatened Species 2022: e.T3169A118972196. Accessed on 21 June 2026.,Anaxyrus exsul,Black Toad,VU,Stable,,,16.60,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",3169,self,True,False,VU
3170,118972321,2021-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/3170/118972321,IUCN SSC Amphibian Specialist Group 2022. Anaxyrus houstonensis. The IUCN Red List of Threatened Species 2022: e.T3170A118972321. Accessed on 21 June 2026.,Anaxyrus houstonensis,Houston Toad,CR,Decreasing,85-249,,32505,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",3170,self,True,False,CR
3176,77163458,2016-08-19T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/3176/77163458,IUCN SSC Amphibian Specialist Group & South African Frog Re-assessment Group (SA-FRoG) 2017. Vandijkophrynus amatolicus. The IUCN Red List of Threatened Species 2017: e.T3176A77163458. Accessed on 21 June 2026.,Vandijkophrynus amatolicus,Amathole Toad,CR,Decreasing,,18,98.54,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",3176,self,True,False,CR
3177,79808774,2015-07-09T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/3177/79808774,IUCN SSC Amphibian Specialist Group 2015. Rhinella atacamensis. The IUCN Red List of Threatened Species 2015: e.T3177A79808774. Accessed on 21 June 2026.,Rhinella atacamensis,Atacama Toad,VU,Decreasing,,,105009.9,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",3177,self,True,False,VU
3180,118972917,2021-01-04T00:00:00.000+00:00,2022,https://www.iucnredlist.org/species/3180/118972917,IUCN SSC Amphibian Specialist Group 2022. Anaxyrus canorus. The IUCN Red List of Threatened Species 2022: e.T3180A118972917. Accessed on 21 June 2026.,Anaxyrus canorus,Yosemite Toad,VU,Decreasing,,,14470.85,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",3180,self,True,False,VU
3181,118973099,2020-06-10T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/3181/118973099,IUCN SSC Amphibian Specialist Group 2022. Anaxyrus nelsoni. The IUCN Red List of Threatened Species 2022: e.T3181A118973099. Accessed on 21 June 2026.,Anaxyrus nelsoni,Amargosa Toad,CR,Decreasing,250-2500,,92.91,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",3181,self,True,False,CR
