taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
41801,spatial_join,no spatial geometry in clean file,Echinorhinus brucus,Bramble Shark,EN,Fishes (not comprehensive)
41810,spatial_join,no spatial geometry in clean file,Eusphyra blochii,Winghead Shark,CR,Fishes (not comprehensive)
41816,spatial_join,no spatial geometry in clean file,Hemigaleus microstoma,Sickelfin Weasel Shark,VU,Fishes (not comprehensive)
13145,spatial_join,no spatial geometry in clean file,Menidia conchorum,Key Silverside,EN,Fishes (not comprehensive)
41819,spatial_join,no spatial geometry in clean file,Hemiscyllium strahani,Hooded Carpet Shark,VU,Fishes (not comprehensive)
41823,spatial_join,no spatial geometry in clean file,Heptranchias perlo,Sharpnose Sevengill Shark,NT,Fishes (not comprehensive)
144163683,spatial_join,no spatial geometry in clean file,Styracura pacifica,Pacific Chupare,VU,Fishes (not comprehensive)
45925,spatial_join,no spatial geometry in clean file,Hypanus marianae,Large-eye Stingray,EN,Fishes (not comprehensive)
41831,spatial_join,no spatial geometry in clean file,Loxodon macrorhinus,Sliteye Shark,NT,Fishes (not comprehensive)
41832,spatial_join,no spatial geometry in clean file,Mobula eregoodoo,Longhorned Pygmy Devil Ray,EN,Fishes (not comprehensive)
41835,spatial_join,no spatial geometry in clean file,Nebrius ferrugineus,Tawny Nurse Shark,VU,Fishes (not comprehensive)
41836,spatial_join,no spatial geometry in clean file,Negaprion acutidens,Sharptooth Lemon Shark,EN,Fishes (not comprehensive)
41840,spatial_join,no spatial geometry in clean file,Oxynotus bruniensis,Prickly Dogfish,NT,Fishes (not comprehensive)
274985841,spatial_join,no spatial geometry in clean file,Proterorhinus marmoratus,Tubenose Goby,NT,Fishes (not comprehensive)
4982,spatial_join,no spatial geometry in clean file,Clinus spatulatus,Bot River Klipfish,EN,Fishes (not comprehensive)
41848,spatial_join,no spatial geometry in clean file,Rhina ancylostomus,Bowmouth Guitarfish,CR,Fishes (not comprehensive)
41850,spatial_join,no spatial geometry in clean file,Rhizoprionodon acutus,Milk Shark,VU,Fishes (not comprehensive)
41851,spatial_join,no spatial geometry in clean file,Rhizoprionodon oligolinx,Grey Sharpnose Shark,NT,Fishes (not comprehensive)
41853,spatial_join,no spatial geometry in clean file,Rhynchobatus australiae,Bottlenose Wedgefish,CR,Fishes (not comprehensive)
41861,spatial_join,no spatial geometry in clean file,Squalus rancureli,Cyrano Spurdog,NT,Fishes (not comprehensive)
903,spatial_join,no spatial geometry in clean file,Alosa alosa,Allis Shad,CR,Fishes (not comprehensive)
908,spatial_join,no spatial geometry in clean file,Alosa alabamae,Alabama Shad,NT,Fishes (not comprehensive)
41871,spatial_join,no spatial geometry in clean file,Centrophorus squamosus,Leafscale Gulper Shark,EN,Fishes (not comprehensive)
41872,spatial_join,no spatial geometry in clean file,Chiloscyllium punctatum,Grey Carpetshark,NT,Fishes (not comprehensive)
41874,spatial_join,no spatial geometry in clean file,Hemipristis elongata,Snaggletooth Shark,EN,Fishes (not comprehensive)
41875,spatial_join,no spatial geometry in clean file,Hemiscyllium hallstromi,Papuan Epaulette Shark,VU,Fishes (not comprehensive)
41876,spatial_join,no spatial geometry in clean file,Odontaspis ferox,Smalltooth Sandtiger,EN,Fishes (not comprehensive)
41878,spatial_join,no spatial geometry in clean file,Stegostoma tigrinum,Indo-Pacific Leopard Shark,EN,Fishes (not comprehensive)
69690275,spatial_join,no spatial geometry in clean file,Siganus niger,Black Foxface,VU,Fishes (not comprehensive)
241148837,spatial_join,no spatial geometry in clean file,Boleophthalmus pectinirostris,Great Blue Spotted Mudskipper,VU,Fishes (not comprehensive)
169243577,spatial_join,no spatial geometry in clean file,Aetobatus flagellum,Longhead Eagle Ray,EN,Fishes (not comprehensive)
181244884,spatial_join,no spatial geometry in clean file,Hypanus americanus,Southern Stingray,NT,Fishes (not comprehensive)
116880357,spatial_join,no spatial geometry in clean file,Squatina david,David's Angelshark,NT,Fishes (not comprehensive)
176092140,spatial_join,no spatial geometry in clean file,Hyphessobrycon fernandezi,,VU,Fishes (not comprehensive)
115696622,spatial_join,no spatial geometry in clean file,Carcharhinus obsoletus,Lost Shark,CR,Fishes (not comprehensive)
123376622,spatial_join,no spatial geometry in clean file,Brachiopsilus dianthus,Pink Handfish,EN,Fishes (not comprehensive)
241148912,spatial_join,no spatial geometry in clean file,Bathygobius brasiliensis,Noronha Frillfin Goby,EN,Fishes (not comprehensive)
123433971,spatial_join,no spatial geometry in clean file,Glossogobius minutus,,VU,Fishes (not comprehensive)
90985462,spatial_join,no spatial geometry in clean file,Neostethus geminus,,EN,Fishes (not comprehensive)
241148923,spatial_join,no spatial geometry in clean file,Awaouichthys menoni,,VU,Fishes (not comprehensive)
21132319,spatial_join,no spatial geometry in clean file,Galeoides decadactylus,Lesser African Threadfin,NT,Fishes (not comprehensive)
144159779,spatial_join,no spatial geometry in clean file,Zearaja chilensis,Yellownose Skate,EN,Fishes (not comprehensive)
21132344,spatial_join,no spatial geometry in clean file,Pentanemus quinquarius,Royal Threadfin,VU,Fishes (not comprehensive)
193598,spatial_join,no spatial geometry in clean file,Takifugu vermicularis,Purple Puffer,NT,Fishes (not comprehensive)
60470339,spatial_join,no spatial geometry in clean file,Didogobius amicuscaridis,,VU,Fishes (not comprehensive)
193605,spatial_join,no spatial geometry in clean file,Takifugu chinensis,Chinese Puffer,CR,Fishes (not comprehensive)
193612,spatial_join,no spatial geometry in clean file,Takifugu rubripes,Japanese Pufferfish,NT,Fishes (not comprehensive)
181328,spatial_join,no spatial geometry in clean file,Pangasius krempfi,Pa Souay Hang Leuang,VU,Fishes (not comprehensive)
48342104,spatial_join,no spatial geometry in clean file,Meiacanthus abruptus,Komodo Fangblenny,VU,Fishes (not comprehensive)
