taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
61232,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Labeobarbus platystomus,,CR,"Fish (sharks, freshwater)"
186676,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Matilebias litzi,Peixe-anual,VU,"Fish (sharks, freshwater)"
187189,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias gibberatus,Peixe-anual,VU,"Fish (sharks, freshwater)"
64884022,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Coptodon nigrans,,CR,"Fish (sharks, freshwater)"
187191,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias similis,Peixe-anual,VU,"Fish (sharks, freshwater)"
176043835,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Trichomycterus guianensis,,EN,"Fish (sharks, freshwater)"
176414011,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Andromakhe stenohalina,Mojarra,NT,"Fish (sharks, freshwater)"
60733,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Labeobarbus ruwenzorii,,VU,"Fish (sharks, freshwater)"
187198,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Titanolebias prognathus,,VU,"Fish (sharks, freshwater)"
219416383,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Lacustricola petnehazyi,,EN,"Fish (sharks, freshwater)"
176428859,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Bryconamericus poi,Mojarra,NT,"Fish (sharks, freshwater)"
115866950,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima lundoense,,NT,"Fish (sharks, freshwater)"
181579,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius lauzannei,,VU,"Fish (sharks, freshwater)"
57498955,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius seymouri,,VU,"Fish (sharks, freshwater)"
186700,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cambeva crassicaudata,Candiru,EN,"Fish (sharks, freshwater)"
61262,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Labeobarbus acuticeps,,NT,"Fish (sharks, freshwater)"
176158037,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Serrapinnus littoris,Tetra,VU,"Fish (sharks, freshwater)"
120732502,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima usisyae,,CR,"Fish (sharks, freshwater)"
56547671,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Fundulopanchax deltaense,,NT,"Fish (sharks, freshwater)"
173833048,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Melanorivulus imperatrizensis,,CR,"Fish (sharks, freshwater)"
61273,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius loveridgii,,VU,"Fish (sharks, freshwater)"
141064022,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Spectrolebias reticulatus,Peixe-anual,NT,"Fish (sharks, freshwater)"
117809499,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima flavicauda,,VU,"Fish (sharks, freshwater)"
203108707,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hemimyzon yingjiangensis,,EN,"Fish (sharks, freshwater)"
149114729,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Eretmobrycon gonzalezi,,EN,"Fish (sharks, freshwater)"
