taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
4084,81282214,2015-01-26T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/4084/81282214,"Link, A., Boubli, J.P. & Lynch Alfaro, J.W. 2020. Cebus malitiosus. The IUCN Red List of Threatened Species 2020: e.T4084A81282214. Accessed on 22 June 2026.",Cebus malitiosus,Santa Marta White-fronted Capuchin,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4084,self,True,False,EN
4085,115560059,2021-03-14T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/4085/115560059,"Seyjagat, J., Biptah, N., Ramsubage, S. & Lynch Alfaro, J.W. 2021. Cebus trinitatis. The IUCN Red List of Threatened Species 2021: e.T4085A115560059. Accessed on 22 June 2026.",Cebus trinitatis,Trinidad White-fronted Capuchin,CR,Decreasing,50,,7423,species,,[],MAMMALIA,MAMMALS,CR,Mammals,4085,self,True,False,CR
4137,50182159,2016-09-28T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/4137/50182159,IUCN SSC Antelope Specialist Group 2017. Cephalophus adersi. The IUCN Red List of Threatened Species 2017: e.T4137A50182159. Accessed on 22 June 2026.,Cephalophus adersi,Aders' Duiker,VU,Decreasing,14000,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,4137,self,True,False,VU
4139,166523704,2016-01-07T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/4139/166523704,IUCN SSC Antelope Specialist Group 2020. Cephalophus dorsalis (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2020: e.T4139A166523704. Accessed on 22 June 2026.,Cephalophus dorsalis,Bay Duiker,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,4139,self,True,False,NT
4140,50182687,2016-01-07T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/4140/50182687,IUCN SSC Antelope Specialist Group 2016. Cephalophus jentinki. The IUCN Red List of Threatened Species 2016: e.T4140A50182687. Accessed on 22 June 2026.,Cephalophus jentinki,Jentink's Duiker,EN,Decreasing,2000,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4140,self,True,False,EN
4141,50182823,2016-01-07T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/4141/50182823,IUCN SSC Antelope Specialist Group 2016. Cephalophus leucogaster. The IUCN Red List of Threatened Species 2016: e.T4141A50182823. Accessed on 22 June 2026.,Cephalophus leucogaster,White-bellied Duiker,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,4141,self,True,False,NT
4150,50184147,2016-01-07T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/4150/50184147,IUCN SSC Antelope Specialist Group 2016. Cephalophus silvicultor. The IUCN Red List of Threatened Species 2016: e.T4150A50184147. Accessed on 22 June 2026.,Cephalophus silvicultor,Yellow-backed Duiker,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,4150,self,True,False,NT
4151,50184413,2016-01-07T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/4151/50184413,"Moyer, D., Jones, T. & Rovero, F. 2016. Cephalophus spadix. The IUCN Red List of Threatened Species 2016: e.T4151A50184413. Accessed on 22 June 2026.",Cephalophus spadix,Abbott's Duiker,EN,Decreasing,1500,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4151,self,True,False,EN
4153,50184648,2016-01-07T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/4153/50184648,IUCN SSC Antelope Specialist Group 2016. Cephalophus zebra. The IUCN Red List of Threatened Species 2016: e.T4153A50184648. Accessed on 22 June 2026.,Cephalophus zebra,Zebra Duiker,VU,Decreasing,9500,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,4153,self,True,False,VU
4160,50351955,2017-07-25T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/4160/50351955,"Heinrich, S. & Reeves, R. 2017. Cephalorhynchus eutropia. The IUCN Red List of Threatened Species 2017: e.T4160A50351955. Accessed on 22 June 2026.",Cephalorhynchus eutropia,Chilean Dolphin,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,4160,self,True,False,NT
4161,50352086,2017-09-17T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/4161/50352086,"Elwen, S. & Gopal, K. 2018. Cephalorhynchus heavisidii. The IUCN Red List of Threatened Species 2018: e.T4161A50352086. Accessed on 22 June 2026.",Cephalorhynchus heavisidii,Heaviside's Dolphin,NT,Unknown,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,4161,self,True,False,NT
4162,44199757,2008-07-01T01:00:00.000+01:00,2013,https://www.iucnredlist.org/species/4162/44199757,"Reeves, R.R., Dawson, S.M., Jefferson, T.A., Karczmarski, L., Laidre, K., O’Corry-Crowe, G., Rojas-Bracho, L., Secchi, E.R., Slooten, E., Smith, B.D., Wang, J.Y. & Zhou, K. 2013. Cephalorhynchus hectori. The IUCN Red List of Threatened Species 2013: e.T4162A44199757. Accessed on 22 June 2026.",Cephalorhynchus hectori,Hector's Dolphin,EN,Decreasing,7381-7381,,,species,,"[39427, 134815361]",MAMMALIA,MAMMALS,EN,Mammals,4162,self,True,False,EN
