taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
2577,137277375,2023-10-26T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2577/137277375,"Ford, M. 2024. Luciobarbus guiraonis. The IUCN Red List of Threatened Species 2024: e.T2577A137277375. Accessed on 19 June 2026.",Luciobarbus guiraonis,Eastern Iberian Barbel,NT,Decreasing,,,77821,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2577,self,True,False,NT
2580,137277506,2023-12-05T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/2580/137277506,"Ford, M. 2024. Luciobarbus microcephalus. The IUCN Red List of Threatened Species 2024: e.T2580A137277506. Accessed on 19 June 2026.",Luciobarbus microcephalus,Iberian Small-Head Barbel,NT,Decreasing,,,101459,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2580,self,True,False,NT
2581,100145924,2016-12-20T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/2581/100145924,"Woodford, D. 2017. Enteromius motebensis. The IUCN Red List of Threatened Species 2017: e.T2581A100145924. Accessed on 19 June 2026.",Enteromius motebensis,Marico Barb,NT,Unknown,,132,12552,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2581,self,True,False,NT
2582,135065198,2023-10-24T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2582/135065198,"Ford, M. 2024. Barbus prespensis. The IUCN Red List of Threatened Species 2024: e.T2582A135065198. Accessed on 19 June 2026.",Barbus prespensis,Prespa Barbel,NT,Unknown,,,17000-24812,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2582,self,True,False,NT
2584,135082993,2023-11-29T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/2584/135082993,"Ford, M. 2024. Luciobarbus bocagei. The IUCN Red List of Threatened Species 2024: e.T2584A135082993. Accessed on 19 June 2026.",Luciobarbus bocagei,Iberian Barbel,NT,Decreasing,,,272306,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2584,self,True,False,NT
2587,135083079,2023-10-26T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2587/135083079,"Ford, M. 2024. Luciobarbus graellsii. The IUCN Red List of Threatened Species 2024: e.T2587A135083079. Accessed on 19 June 2026.",Luciobarbus graellsii,Ebro Barbel,NT,Decreasing,,,128189,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2587,self,True,False,NT
2589,135083188,2023-10-26T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2589/135083188,"Ford, M. 2024. Luciobarbus sclateri. The IUCN Red List of Threatened Species 2024: e.T2589A135083188. Accessed on 19 June 2026.",Luciobarbus sclateri,Southern Iberian Barbel,NT,Decreasing,,,234967,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2589,self,True,False,NT
2590,137277635,2023-10-28T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2590/137277635,"Ford, M. 2024. Luciobarbus steindachneri. The IUCN Red List of Threatened Species 2024: e.T2590A137277635. Accessed on 19 June 2026.",Luciobarbus steindachneri,Steindachner's Barbel,NT,Decreasing,,,190777,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2590,self,True,False,NT
2592,137226773,2023-09-09T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2592/137226773,"Ford, M. 2024. Barbus caninus. The IUCN Red List of Threatened Species 2024: e.T2592A137226773. Accessed on 19 June 2026.",Barbus caninus,Brook Barbel,NT,Decreasing,,,136946,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2592,self,True,False,NT
2719,176087193,2016-06-21T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/2719/176087193,"Ravelomanana, T., Sparks, J.S. & Loiselle, P.V. 2020. Bedotia geayi (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2020: e.T2719A176087193. Accessed on 19 June 2026.",Bedotia geayi,Zona,EN,Decreasing,,,1928,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",2719,self,True,False,EN
2720,176087515,2016-06-22T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/2720/176087515,"Ravelomanana, T., Sparks, J.S. & Loiselle, P.V. 2020. Bedotia longianalis (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2020: e.T2720A176087515. Accessed on 19 June 2026.",Bedotia longianalis,Zona,EN,Stable,,,3962,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",2720,self,True,False,EN
2721,58294066,2016-06-22T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/2721/58294066,"Ravelomanana, T. & Sparks, J.S. 2016. Bedotia madagascariensis. The IUCN Red List of Threatened Species 2016: e.T2721A58294066. Accessed on 19 June 2026.",Bedotia madagascariensis,Zona,EN,Decreasing,,,1875,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",2721,self,True,False,EN
